customer_id,churn_probability,actual_churn
1071061,0.9637574791435578,0
1011701,0.9581219442676517,1
1045781,0.9569330190036347,1
1088435,0.9559033752935093,1
1057208,0.95252739204794,1
1043801,0.9521971780965209,1
1079301,0.9458239470398427,1
1068138,0.945493860333512,1
1009644,0.9447084532167663,1
1065062,0.9441106490684693,1
1073021,0.9436010984819393,1
1089022,0.9421387545269125,1
1040621,0.9420908435054285,1
1024677,0.9419849092293339,1
1075684,0.9406389777737428,1
1052524,0.939054245980436,1
1056026,0.9386160676599432,1
1001626,0.9384311489065474,1
1030054,0.9364263211617347,1
1077967,0.9355307243707769,1
1029941,0.9349228230008607,1
1056535,0.9343474832276807,1
1075198,0.934332883556916,1
1018944,0.9327450214371532,1
1069751,0.932448340415202,1
1022178,0.9320702631680766,1
1090204,0.931026101689439,1
1018251,0.9306510735605678,1
1034946,0.9304634461958838,1
1055181,0.9304397343529456,1
1057617,0.9302711078397351,1
1061964,0.9293840220739185,1
1001303,0.9288881362716029,1
1051194,0.9282882272508721,1
1068334,0.9275324369059094,0
1075381,0.9246271776235535,1
1062049,0.9222126431905013,1
1050880,0.9216075248615141,0
1089133,0.9196409527116117,1
1013699,0.9190993400157113,1
1040250,0.9174064532707378,1
1002787,0.9173127302787996,1
1034680,0.9148446313245076,1
1024560,0.9145701734837993,1
1042292,0.9138441185504925,1
1013613,0.9137747927782333,1
1075422,0.9125997795334199,1
1000905,0.9124397768790701,0
1053757,0.9123097810014744,1
1006788,0.9122589354710329,1
1064584,0.9118455959250769,1
1020855,0.9103369321057739,1
1073181,0.9094715922870149,1
1090849,0.9090855428890923,1
1021785,0.9088733875776416,0
1039695,0.9084041315302802,0
1047392,0.9077754995905485,1
1004804,0.907479601989168,1
1011985,0.9071769561579417,1
1039048,0.9060158225565168,0
1022008,0.9057440906346365,1
1056984,0.9045598725178262,1
1057365,0.9036039933273241,0
1049629,0.9024277015739013,1
1049421,0.9022092290898139,1
1055763,0.9018601051541905,1
1027396,0.9017435487727211,1
1033220,0.9007827343640993,1
1046159,0.9004790976135878,1
1044532,0.9003893110408733,1
1071063,0.8998927915663973,1
1079221,0.8998004577691502,1
1081552,0.8995230911930847,1
1034809,0.8992120254187213,1
1087893,0.89918173953352,1
1027938,0.8991795484766345,0
1041841,0.8989825920330429,1
1025172,0.898211434963052,1
1083841,0.8972995209382327,1
1027089,0.8967250361657192,1
1076113,0.8959855462496127,1
1030144,0.895983019641812,1
1049437,0.8957382750081586,1
1000007,0.8946755024434324,1
1036602,0.8944062719784535,1
1008958,0.894109278877294,1
1018814,0.893866635993652,1
1020896,0.8933863358104369,1
1044306,0.8901313184541273,0
1077584,0.8870724464065677,1
1019186,0.8861142995343559,1
1075933,0.8859621007619098,1
1036371,0.8854517547331439,0
1034777,0.8839968865306049,1
1014783,0.8832228040483939,1
1073889,0.8816321635915688,1
